Name,ID,Gene,Value
PC51,A,DNMT1,20.05204021
PC51,A,EGFR,22.66987972
PC51,A,ERCC1,19.48502023
PC51,A,FGF2,21.32061345
PC51,A,FGFR2,19.64036629
PC51,A,HMOX2,18.43924626
PC51,A,IGF1R,22.75520839
PC51,A,IL18,17.07886101
PC51,A,IL6,23.29329646
PC51,A,KAT6A,19.36001535
PC51,A,KRAS,18.02828683
PC51,A,LATS2,21.72333571
PC51,A,LEF1,20.75843018
PC51,A,MCM2,21.31494123
PC51,A,MDM2,18.26824099
PC51,A,MLH1,19.33957247
PC51,A,MMP1,16.14480616
PC51,A,MUC1,14.41261706
PC51,A,MYC,18.92003769
PC51,A,NFE2L2,17.17830979
PC51,A,NFE2L3,20.94902148
PC51,A,OCLN,18.54760177
PC51,A,PARP1,18.85545487
PC51,A,PCNA,18.78925595
PC51,A,PECAM1,17.23183327
PC51,A,E,17.64393489
PC51,A,D,20.72504978
PC51,A,C,15.27622902
PC51,A,B,11.64592914
PC51,A,A,14.45063371
PC51,A,PI3,19.98733982
PC51,A,S100P,12.54924315
PC51,A,RB1,20.65079706
PC51,A,PTEN,16.34850938
PC51,A,G,18.32079762
PC51,A,F,12.47224166
PC51,A,STAT5A,21.03161313
PC51,A,STAT3,18.57255534
PC51,A,STAT1,18.85148635
PC51,A,SOX7,21.93201552
PC51,A,SNAI1,21.31226694
PC51,A,SMYD2,18.94738744
PC51,A,WNT5A,21.43050285
PC51,A,VEGFA,19.74394657
PC51,A,TWIST1,23.57804221
PC51,A,TOP1,18.02932252
PC51,A,TGFB1,19.1213346
PC51,A,PIK3C3,19.2787836
PC51,A,FAS,19.49237627
PC51,A,CD40,20.68731647
PC51,A,HTRA2,21.91598503
PC51,A,HIF1A,16.76675894
PC51,A,HES1,19.77308035
PC51,A,GSTP1,14.58342301
PC51,A,GSTM1,19.25681688
PC51,A,BAX,19.797659
PC51,A,MYD88,21.87014235
PC51,A,IL1B,21.52542906
PC51,A,TP53,20.58626916
PC51,A,SOD2,17.44243064
PC51,A,SNAI2,19.08553449
PC51,A,SLPI,15.24713972
PC51,A,RIPK3,19.88045208
574,A,ABCB,18.92988609
574,A,ABCC1,17.50700305
574,A,ABCC3,14.09848126
574,A,AKT1,14.65680331
574,A,ALDH1A1,12.03214722
574,A,ALDH3A1,15.87382093
574,A,ANGPTL4,21.87344295
574,A,CASP8,16.08492273
574,A,CCND1,17.3984368
574,A,CD274,20.42088455
574,A,CD34,16.68802615
574,A,CD44,15.57701345
574,A,CDH1,14.30204109
574,A,CDH2,19.82213046
574,A,CDH5,16.81356218
574,A,CDKN1A,13.54839968
574,A,CDKN3,14.81546233
574,A,CEACAM6,10.90593233
574,A,DNMT1,15.63707295
574,A,EGFR,18.75160988
574,A,ERCC1,17.12133517
574,A,FAP,23.18725061
574,A,FGF13,17.74141827
574,A,FGF2,19.60556065
574,A,FGFR2,18.26292942
574,A,HMOX2,15.15544593
574,A,IGF1R,15.42782682
574,A,IL17A,18.25064662
574,A,IL18,13.87215931
574,A,IL6,18.35903189
574,A,KAT6A,14.75611768
574,A,KRAS,12.39906594
574,A,LATS2,17.23761226
574,A,LEF1,18.3772335
574,A,MCM2,16.75059366
574,A,MDM2,15.03260253
574,A,MLH1,16.1749218
574,A,MMP1,14.06947548
574,A,MUC1,9.84782646
574,A,MYC,16.62628014
574,A,NFE2L2,13.25296458
574,A,NFE2L3,17.17130819
574,A,OCLN,14.41467488
574,A,PARP1,14.92347436
574,A,PCNA,15.44420686
574,A,PECAM1,15.11965131
574,A,E,14.86146228
574,A,D,18.20327224
574,A,C,12.62891474
574,A,B,10.3408305
574,A,A,11.18557347
574,A,PI3,8.53514598
574,A,S100P,10.32062938
574,A,RB1,16.11553718
574,A,PTEN,13.41638883
574,A,G,14.05525073
574,A,F,10.53690602
574,A,STAT5A,16.09333766
574,A,STAT3,13.76478164
574,A,STAT1,14.32861913
574,A,SNAI1,18.03448822
574,A,SMYD2,16.73535102
574,A,WNT5A,19.49485345
574,A,VEGFA,14.40058219
574,A,TWIST1,19.74632852
574,A,TP63,21.77397493
574,A,TOP1,13.62917678
574,A,TGFB1,16.85349317
574,A,PIK3C3,15.78045022
574,A,IL12A,21.59793698
574,A,FASLG,20.52176406
574,A,FAS,18.40230265
574,A,CD40,16.37763919
574,A,HTRA2,19.13662995
574,A,HIF1A,12.94365441
574,A,HES1,16.47072597
574,A,GSTP1,10.79328402
574,A,GSTM1,19.14286148
574,A,BAX,17.6887769
574,A,NOX1,18.83524544
574,A,NOTCH1,18.34182291
574,A,NOS2,20.39098392
574,A,MYD88,17.74307389
574,A,IL1B,15.18560007
574,A,TP53,17.57918758
574,A,SOD2,11.22577233
574,A,SNAI2,17.0695383
574,A,SLPI,10.61319528
574,A,RIPK3,16.08314441
PC 60,A,ABCC1,20.57397995
PC 60,A,ABCC3,22.28086915
PC 60,A,AKT1,18.90031663
PC 60,A,ALDH1A1,18.65227636
PC 60,A,ALDH3A1,23.29616107
